ticker,sector,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,avg_block_count,avg_combined_score,composite_score
RMBS,Technology,11,0,0.000,11,1.000,0.00,0.0,83.4,0.00
RIO,Basic Materials,14,0,0.000,14,1.000,0.00,0.0,81.6,0.00
RGLD,Basic Materials,17,0,0.000,17,1.000,0.00,0.0,82.0,0.00
REZI,Industrials,6,0,0.000,6,1.000,0.00,0.0,72.9,0.00
RELY,Technology,11,0,0.000,11,1.000,0.00,0.0,83.1,0.00
REGN,Healthcare,9,0,0.000,9,1.000,0.00,0.0,86.2,0.00
REG,Real Estate,16,0,0.000,16,1.000,0.00,0.0,78.8,0.00
RDY,Healthcare,9,0,0.000,9,1.000,0.00,0.0,86.9,0.00
RCUS,Healthcare,5,0,0.000,5,1.000,0.00,0.0,76.1,0.00
RCI,Communication Services,16,0,0.000,16,1.000,0.00,0.0,83.6,0.00
QXO,Industrials,5,0,0.000,5,1.000,0.00,0.0,76.6,0.00
QSR,Consumer Cyclical,16,0,0.000,16,1.000,0.00,0.0,82.5,0.00
QMMM,Communication Services,32,0,0.000,0,0.000,0.00,0.0,78.9,0.00
Q,Technology,23,0,0.000,23,1.000,0.00,0.0,78.8,0.00
PTGX,Healthcare,12,0,0.000,12,1.000,0.00,0.0,82.4,0.00
PTEN,Energy,27,0,0.000,27,1.000,0.00,0.0,81.5,0.00
PSLV,Financial Services,6,4,0.667,0,0.000,1.31,0.0,78.8,0.00
PSA,Real Estate,9,0,0.000,9,1.000,0.00,0.0,76.3,0.00
PRIM,Industrials,7,0,0.000,7,1.000,0.00,0.0,84.9,0.00
PRDO,Consumer Defensive,14,0,0.000,14,1.000,0.00,0.0,81.9,0.00
PR,Energy,21,0,0.000,21,1.000,0.00,0.0,83.4,0.00
PPTA,Basic Materials,14,0,0.000,14,1.000,0.00,0.0,79.2,0.00
PPL,Utilities,19,0,0.000,19,1.000,0.00,0.0,83.6,0.00
POWI,Technology,19,0,0.000,19,1.000,0.00,0.0,82.1,0.00
POR,Utilities,17,0,0.000,17,1.000,0.00,0.0,80.4,0.00
PNW,Utilities,14,0,0.000,14,1.000,0.00,0.0,80.0,0.00
PNC,Financial Services,6,0,0.000,6,1.000,0.00,0.0,73.2,0.00
PM,Consumer Defensive,9,0,0.000,9,1.000,0.00,0.0,85.8,0.00
PLD,Real Estate,13,0,0.000,13,1.000,0.00,0.0,79.4,0.00
PLAB,Technology,13,0,0.000,13,1.000,0.00,0.0,81.1,0.00
PKG,Consumer Cyclical,6,0,0.000,6,1.000,0.00,0.0,82.0,0.00
PK,Real Estate,7,0,0.000,7,1.000,0.00,0.0,81.5,0.00
PHM,Consumer Cyclical,8,0,0.000,8,1.000,0.00,0.0,77.9,0.00
