ticker,sector,category,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,dp_pct_cv,avg_block_count,avg_pcr,avg_combined_score
CCK,Consumer Cyclical,C,11,0,0.00,11,1.00,0.00,0.00,0.0,1.276,80.7
CCL,Consumer Cyclical,C,5,0,0.00,5,1.00,0.00,0.00,0.0,3.521,84.2
CDE,Basic Materials,C,21,1,0.05,21,1.00,0.69,0.00,0.0,0.399,81.1
CDP,Real Estate,C,8,0,0.00,8,1.00,0.00,0.00,0.0,1.461,78.5
CE,Basic Materials,C,17,0,0.00,17,1.00,0.00,0.00,0.0,0.656,81.0
CECO,Industrials,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.736,86.8
CEF,Financial Services,D,7,0,0.00,0,0.00,0.00,0.00,0.0,0.000,73.6
CEG,Utilities,C,1,0,0.00,1,1.00,0.00,0.00,0.0,1.002,71.5
CELC,Healthcare,C,10,0,0.00,10,1.00,0.00,0.00,0.0,1.430,82.6
CELH,Consumer Defensive,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.137,132.0
CENX,Basic Materials,C,14,0,0.00,14,1.00,0.00,0.00,0.0,0.640,80.5
CEPU,Utilities,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.093,80.5
CF,Basic Materials,C,25,1,0.04,25,1.00,0.42,0.00,0.0,0.431,83.0
CFG,Financial Services,C,5,1,0.20,5,1.00,18.90,0.00,15.0,0.685,86.3
CFLT,Technology,C,19,0,0.00,11,0.58,0.00,0.00,0.0,3.569,81.2
CFR,Financial Services,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.227,73.0
CGAU,Basic Materials,C,19,0,0.00,19,1.00,0.00,0.00,0.0,0.368,82.0
CGNX,Technology,C,18,0,0.00,18,1.00,0.00,0.00,0.0,0.809,77.2
CGON,Healthcare,C,21,1,0.05,21,1.00,12.09,0.00,0.0,0.388,81.0
CHD,Consumer Defensive,C,12,0,0.00,12,1.00,0.00,0.00,0.0,0.699,83.2
CHRD,Energy,C,20,0,0.00,20,1.00,0.00,0.00,0.0,0.496,83.8
CHRW,Industrials,C,12,0,0.00,12,1.00,0.00,0.00,0.0,0.469,78.6
CIEN,Technology,C,19,1,0.05,19,1.00,0.26,0.00,0.0,1.238,83.8
CIFR,Financial Services,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.629,76.0
CINF,Financial Services,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.533,82.6
CL,Consumer Defensive,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.591,87.9
CLDX,Healthcare,C,5,0,0.00,5,1.00,0.00,0.00,0.0,0.976,76.0
CLH,Industrials,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.918,77.0
CLMT,Energy,C,19,0,0.00,19,1.00,0.00,0.00,0.0,0.506,86.8
